,C,Al,V,Cr,Mn,Fe,Co,Ni,Cu,Mo,Ti,B,Hom_Temp(K),CR(%),Anneal_Temp(K),Anneal_Time(h),YS(Mpa),UTS(Mpa),El(%),Density,Miedema_dH_inter,Miedema_dH_amor,Miedema_dH_ss_min,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,mean atomic_mass,std_dev atomic_mass,mean atomic_radius,std_dev atomic_radius,mean mendeleev_no,std_dev mendeleev_no,mean electrical_resistivity,std_dev electrical_resistivity,mean thermal_conductivity,std_dev thermal_conductivity,mean melting_point,std_dev melting_point,mean bulk_modulus,std_dev bulk_modulus,mean coefficient_of_linear_thermal_expansion,std_dev coefficient_of_linear_thermal_expansion,constraint_1,constraint_2
0,0.0,0.0,10.0,15.0,0.0,40.0,10.0,25.0,0.0,0.0,0.0,0.0,1373,0.0,1173,0.166666666666667,397.0,721.0,58.0,7.895604146030848,-0.23171573900177383,-0.13982089457261465,-0.2715164552564172,0.022961075310218217,3.739500064665909,0.006297991209906406,1.36,1.043159393117166,-0.012123266113290064,-22.99509415955703,0.05711399758107619,0.145925,8.0,6.09,4.407,81.1675,0.22081255475785863,8.628874999999999,-0.024078703455677034,55.7982345,3.2169596011225816,1.3775,0.029014422873699756,61.5,4.802210375420461,1.0304999999999999e-07,4.450861721962075e-08,81.95,21.379228904977573,1878.5,207.39213244151634,171.0,8.959470343917515,1.0945e-05,3.3706365090573735e-06,145.50000000000028,24.250000000000096
1,0.0,0.0,10.0,15.0,5.0,35.0,10.0,25.0,0.0,0.0,0.0,0.0,1373,0.0,1173,0.166666666666667,442.0,745.0,53.0,7.874701518361583,-0.2538634780482316,-0.1605199908833429,-0.2827310300015393,0.02420572547153075,3.982747267581472,0.0027538902980525914,1.5224999999999997,1.0431168551278502,-0.01337625296156447,-22.829598112879346,0.06084605517425291,0.15972499999999998,7.950000000000001,6.260000000000001,4.339000000000001,80.91750000000002,0.22184313823733137,8.641375,-0.02424955888505386,55.752886749999995,3.1501844720418752,1.3775,0.028347335475691945,61.45,4.705274741140032,1.7005000000000002e-07,3.348547805033908e-07,78.34,27.859489744630444,1863.9,221.07908322354027,168.5,15.405767177835136,1.144e-05,4.24147732165691e-06,145.50000000000028,24.250000000000096
2,0.0,0.0,10.0,15.0,10.0,30.0,10.0,25.0,0.0,0.0,0.0,0.0,1373,0.0,1173,0.166666666666667,544.0,860.0,46.2,7.85387551106725,-0.2716245630057474,-0.17587247132563505,-0.2868545454682918,0.025078369905956115,4.0245622398793826,-0.0007946300701649033,1.6500000000000001,1.0430744227683224,-0.013993367870234372,-22.24967356004562,0.06404839716415262,0.17112499999999997,7.900000000000001,6.43,4.271000000000001,80.66750000000002,0.22283646392650572,8.628875,-0.024404363687285047,55.707539,3.106482893243999,1.3775,0.027898062420039987,61.4,4.643247616450468,2.3705000000000002e-07,4.517508183576345e-07,74.73,32.37479219719133,1849.3,233.1874027040788,166.0,19.230478952816462,1.1935000000000002e-05,4.871205990177601e-06,145.50000000000028,24.250000000000096
3,0.0,0.0,20.0,15.0,0.0,20.0,0.0,45.0,0.0,0.0,0.0,0.0,1373,75.0,1273,0.166666666666667,352.0,790.0,64.2,7.791467330342121,-0.2583420150624637,-0.16261383488035805,-0.25764717598152004,0.026378035962709583,1.9278366124690858,-0.0008297102170904292,1.7100000000000002,1.0430260574569856,-0.010705701898601577,-15.386159640937562,0.0750710825684032,0.19452500000000006,8.0,10.570000000000002,4.531000000000001,76.88149999999999,0.2691690647806021,10.525375,-0.0331575924285829,55.568745,3.9063999247269177,1.3675,0.02860673563587781,61.7,6.33705557662981,1.1145e-07,5.791394633295261e-08,77.25,28.296668334786713,1903.4,247.76189544506713,171.0,10.661569525553048,1.0805e-05,3.719571995181453e-06,162.16666666666697,27.027777777777885
4,0.0,0.0,20.0,15.0,0.0,20.0,0.0,45.0,0.0,0.0,0.0,0.0,1373,75.0,1223,0.166666666666667,555.0,976.0,45.6,7.791467330342121,-0.2583420150624637,-0.16261383488035805,-0.25764717598152004,0.026378035962709583,1.9278366124690858,-0.0008297102170904292,1.7100000000000002,1.0430260574569856,-0.010705701898601577,-15.386159640937562,0.0750710825684032,0.19452500000000006,8.0,10.570000000000002,4.531000000000001,76.88149999999999,0.2691690647806021,10.525375,-0.0331575924285829,55.568745,3.9063999247269177,1.3675,0.02860673563587781,61.7,6.33705557662981,1.1145e-07,5.791394633295261e-08,77.25,28.296668334786713,1903.4,247.76189544506713,171.0,10.661569525553048,1.0805e-05,3.719571995181453e-06,153.83333333333363,25.63888888888899
5,0.0,0.0,20.0,15.0,0.0,20.0,0.0,45.0,0.0,0.0,0.0,0.0,1373,75.0,1173,0.166666666666667,587.0,1013.0,38.5,7.791467330342121,-0.2583420150624637,-0.16261383488035805,-0.25764717598152004,0.026378035962709583,1.9278366124690858,-0.0008297102170904292,1.7100000000000002,1.0430260574569856,-0.010705701898601577,-15.386159640937562,0.0750710825684032,0.19452500000000006,8.0,10.570000000000002,4.531000000000001,76.88149999999999,0.2691690647806021,10.525375,-0.0331575924285829,55.568745,3.9063999247269177,1.3675,0.02860673563587781,61.7,6.33705557662981,1.1145e-07,5.791394633295261e-08,77.25,28.296668334786713,1903.4,247.76189544506713,171.0,10.661569525553048,1.0805e-05,3.719571995181453e-06,145.50000000000028,24.250000000000096
6,0.0,0.0,20.0,15.0,0.0,20.0,0.0,45.0,0.0,0.0,0.0,0.0,1373,75.0,1073,0.166666666666667,715.0,1149.0,19.6,7.791467330342121,-0.2583420150624637,-0.16261383488035805,-0.25764717598152004,0.026378035962709583,1.9278366124690858,-0.0008297102170904292,1.7100000000000002,1.0430260574569856,-0.010705701898601577,-15.386159640937562,0.0750710825684032,0.19452500000000006,8.0,10.570000000000002,4.531000000000001,76.88149999999999,0.2691690647806021,10.525375,-0.0331575924285829,55.568745,3.9063999247269177,1.3675,0.02860673563587781,61.7,6.33705557662981,1.1145e-07,5.791394633295261e-08,77.25,28.296668334786713,1903.4,247.76189544506713,171.0,10.661569525553048,1.0805e-05,3.719571995181453e-06,128.83333333333357,21.472222222222307
7,0.0,0.0,10.0,10.0,0.0,45.0,10.0,25.0,0.0,0.0,0.0,0.0,1373,75.0,1173,0.166666666666667,339.0,684.0,47.0,7.930691147308782,-0.21491144726257796,-0.1263712827821786,-0.2743527691371023,0.02250988596944085,3.7111440869281056,0.009828230598283577,1.2475000000000003,1.0431898422960482,-0.01161197741239299,-22.917096445371662,0.055703124956993325,0.13822500000000001,8.100000000000001,5.820000000000001,4.416,79.4085,0.20110021118845822,7.309625000000001,-0.01971948197041514,55.9906795,3.1163381641452443,1.3775,0.029625319820519726,61.7,4.750513223486998,1.0169999999999999e-07,4.4974539684783395e-08,81.25,21.58235094563207,1860.05,195.53798310527657,171.5,8.650011273718722,1.129e-05,3.022586370774924e-06,145.50000000000028,24.250000000000096
8,0.0,0.0,10.0,10.0,0.0,45.0,20.0,15.0,0.0,0.0,0.0,0.0,1373,75.0,1173,0.166666666666667,345.0,689.0,52.6,7.925107385398981,-0.21803352421393773,-0.12794245455451458,-0.26684148375217415,0.022830533722945346,4.123955719792059,0.009825834948867707,1.2275000000000003,1.0432020371507362,-0.011858267030436652,-22.75040315201048,0.05402938249206559,0.13222499999999998,8.0,5.36,4.4110000000000005,79.54549999999999,0.2003498732767939,7.254825,-0.019630094081037802,56.014658999999995,3.124781888964412,1.3775,0.0294174202707275,61.4,4.351673578873183,1.005e-07,4.5959087917818405e-08,82.15,22.22666136702666,1864.05,190.85141403134074,171.5,8.589308690239498,1.1249999999999999e-05,2.965182573182922e-06,145.50000000000028,24.250000000000096
9,0.0,0.0,10.0,10.0,0.0,45.0,30.0,5.0,0.0,0.0,0.0,0.0,1373,75.0,1173,0.166666666666667,348.0,714.0,62.0,7.919536249293385,-0.171865218347087,-0.08950488506813395,-0.22972223180834986,0.023120686288720806,4.218159913867412,0.009824678672150167,1.1875,1.0432142406960996,-0.01106447021115619,-20.698038087098947,0.05220773985298394,0.12422499999999996,7.9,4.9,4.406000000000001,79.68249999999999,0.19958649022896702,7.172625000000001,-0.01948951720128896,56.0386385,3.222886250707642,1.3775,0.030054694667103844,61.1,4.005470711469247,9.93e-08,4.8202886305440076e-08,83.05,23.44266184034108,1868.05,191.41786559794514,171.5,8.775380292048487,1.1210000000000001e-05,2.991203649047151e-06,145.50000000000028,24.250000000000096
