,C,Al,V,Cr,Mn,Fe,Co,Ni,Cu,Mo,Ti,B,Hom_Temp(K),CR(%),Anneal_Temp(K),Anneal_Time(h),YS(Mpa),UTS(Mpa),El(%),Density,Miedema_dH_inter,Miedema_dH_amor,Miedema_dH_ss_min,Yang delta,Yang omega,APE mean,Radii local mismatch,Radii gamma,Configuration entropy,Lambda entropy,Electronegativity delta,Electronegativity local mismatch,VEC mean,Mixing enthalpy,Mean cohesive energy,Shear modulus mean,Shear modulus delta,Shear modulus local mismatch,Shear modulus strength model,mean atomic_mass,std_dev atomic_mass,mean atomic_radius,std_dev atomic_radius,mean mendeleev_no,std_dev mendeleev_no,mean electrical_resistivity,std_dev electrical_resistivity,mean thermal_conductivity,std_dev thermal_conductivity,mean melting_point,std_dev melting_point,mean bulk_modulus,std_dev bulk_modulus,mean coefficient_of_linear_thermal_expansion,std_dev coefficient_of_linear_thermal_expansion,constraint_1,constraint_2,References
0,0.0,0.0,10.0,15.0,0.0,40.0,10.0,25.0,0.0,0.0,0.0,0.0,1373,0.0,1173,0.166666666666667,397.0,721.0,58.0,7.895604146030850,-0.23171573900177400,-0.13982089457261500,-0.2715164552564170,0.022961075310218200,3.739500064665910,0.006297991209906410,1.36,1.043159393117170,-0.012123266113290100,-22.99509415955700,0.05711399758107620,0.145925,8.0,6.09,4.407,81.1675,0.22081255475785900,8.628875000000000,-0.024078703455677000,55.7982345,3.2169596011225800,1.3775,0.029014422873699800,61.5,4.802210375420460,1.0305E-07,4.45086172196208E-08,81.95,21.379228904977600,1878.5,207.39213244151600,171.0,8.959470343917520,1.0945E-05,3.37063650905737E-06,145.50000000000000,24.250000000000100,https://www.sciencedirect.com/science/article/pii/S0921509318304878
1,0.0,0.0,10.0,15.0,5.0,35.0,10.0,25.0,0.0,0.0,0.0,0.0,1373,0.0,1173,0.166666666666667,442.0,745.0,53.0,7.874701518361580,-0.2538634780482320,-0.1605199908833430,-0.2827310300015390,0.02420572547153080,3.982747267581470,0.0027538902980525900,1.5225000000000000,1.0431168551278500,-0.01337625296156450,-22.829598112879300,0.06084605517425290,0.15972500000000000,7.950000000000000,6.260000000000000,4.339000000000000,80.91750000000000,0.22184313823733100,8.641375,-0.02424955888505390,55.752886750000000,3.1501844720418800,1.3775,0.028347335475691900,61.45,4.705274741140030,1.7005E-07,3.34854780503391E-07,78.34,27.859489744630400,1863.9,221.07908322354000,168.5,15.405767177835100,1.144E-05,4.24147732165691E-06,145.50000000000000,24.250000000000100,https://www.sciencedirect.com/science/article/pii/S0921509318304878
2,0.0,0.0,10.0,15.0,10.0,30.0,10.0,25.0,0.0,0.0,0.0,0.0,1373,0.0,1173,0.166666666666667,544.0,860.0,46.2,7.85387551106725,-0.2716245630057470,-0.17587247132563500,-0.2868545454682920,0.025078369905956100,4.0245622398793800,-0.0007946300701649030,1.6500000000000000,1.0430744227683200,-0.013993367870234400,-22.24967356004560,0.06404839716415260,0.17112500000000000,7.900000000000000,6.43,4.271000000000000,80.66750000000000,0.22283646392650600,8.628875,-0.024404363687285000,55.707539,3.106482893244000,1.3775,0.027898062420040000,61.4,4.643247616450470,2.3705E-07,4.51750818357635E-07,74.73,32.37479219719130,1849.3,233.1874027040790,166.0,19.230478952816500,1.1935E-05,4.8712059901776E-06,145.50000000000000,24.250000000000100,https://www.sciencedirect.com/science/article/pii/S0921509318304878
3,0.0,0.0,20.0,15.0,0.0,20.0,0.0,45.0,0.0,0.0,0.0,0.0,1373,75.0,1273,0.166666666666667,352.0,790.0,64.2,7.791467330342120,-0.2583420150624640,-0.16261383488035800,-0.25764717598152000,0.026378035962709600,1.9278366124690900,-0.0008297102170904290,1.7100000000000000,1.0430260574569900,-0.010705701898601600,-15.386159640937600,0.0750710825684032,0.19452500000000000,8.0,10.570000000000000,4.531000000000000,76.88150000000000,0.2691690647806020,10.525375,-0.0331575924285829,55.568745,3.9063999247269200,1.3675,0.02860673563587780,61.7,6.33705557662981,1.1145E-07,5.79139463329526E-08,77.25,28.296668334786700,1903.4,247.76189544506700,171.0,10.661569525553000,1.0805E-05,3.71957199518145E-06,162.16666666666700,27.027777777777900,https://www.sciencedirect.com/science/article/pii/S0921509318316587
4,0.0,0.0,20.0,15.0,0.0,20.0,0.0,45.0,0.0,0.0,0.0,0.0,1373,75.0,1223,0.166666666666667,555.0,976.0,45.6,7.791467330342120,-0.2583420150624640,-0.16261383488035800,-0.25764717598152000,0.026378035962709600,1.9278366124690900,-0.0008297102170904290,1.7100000000000000,1.0430260574569900,-0.010705701898601600,-15.386159640937600,0.0750710825684032,0.19452500000000000,8.0,10.570000000000000,4.531000000000000,76.88150000000000,0.2691690647806020,10.525375,-0.0331575924285829,55.568745,3.9063999247269200,1.3675,0.02860673563587780,61.7,6.33705557662981,1.1145E-07,5.79139463329526E-08,77.25,28.296668334786700,1903.4,247.76189544506700,171.0,10.661569525553000,1.0805E-05,3.71957199518145E-06,153.83333333333400,25.63888888888900,https://www.sciencedirect.com/science/article/pii/S0921509318316587
5,0.0,0.0,20.0,15.0,0.0,20.0,0.0,45.0,0.0,0.0,0.0,0.0,1373,75.0,1173,0.166666666666667,587.0,1013.0,38.5,7.791467330342120,-0.2583420150624640,-0.16261383488035800,-0.25764717598152000,0.026378035962709600,1.9278366124690900,-0.0008297102170904290,1.7100000000000000,1.0430260574569900,-0.010705701898601600,-15.386159640937600,0.0750710825684032,0.19452500000000000,8.0,10.570000000000000,4.531000000000000,76.88150000000000,0.2691690647806020,10.525375,-0.0331575924285829,55.568745,3.9063999247269200,1.3675,0.02860673563587780,61.7,6.33705557662981,1.1145E-07,5.79139463329526E-08,77.25,28.296668334786700,1903.4,247.76189544506700,171.0,10.661569525553000,1.0805E-05,3.71957199518145E-06,145.50000000000000,24.250000000000100,https://www.sciencedirect.com/science/article/pii/S0921509318316587
6,0.0,0.0,20.0,15.0,0.0,20.0,0.0,45.0,0.0,0.0,0.0,0.0,1373,75.0,1073,0.166666666666667,715.0,1149.0,19.6,7.791467330342120,-0.2583420150624640,-0.16261383488035800,-0.25764717598152000,0.026378035962709600,1.9278366124690900,-0.0008297102170904290,1.7100000000000000,1.0430260574569900,-0.010705701898601600,-15.386159640937600,0.0750710825684032,0.19452500000000000,8.0,10.570000000000000,4.531000000000000,76.88150000000000,0.2691690647806020,10.525375,-0.0331575924285829,55.568745,3.9063999247269200,1.3675,0.02860673563587780,61.7,6.33705557662981,1.1145E-07,5.79139463329526E-08,77.25,28.296668334786700,1903.4,247.76189544506700,171.0,10.661569525553000,1.0805E-05,3.71957199518145E-06,128.83333333333400,21.472222222222300,https://www.sciencedirect.com/science/article/pii/S0921509318316587
7,0.0,0.0,10.0,10.0,0.0,45.0,10.0,25.0,0.0,0.0,0.0,0.0,1373,75.0,1173,0.166666666666667,339.0,684.0,47.0,7.930691147308780,-0.21491144726257800,-0.1263712827821790,-0.2743527691371020,0.02250988596944090,3.7111440869281100,0.009828230598283580,1.2475000000000000,1.0431898422960500,-0.01161197741239300,-22.917096445371700,0.055703124956993300,0.13822500000000000,8.100000000000000,5.820000000000000,4.416,79.4085,0.20110021118845800,7.309625000000000,-0.01971948197041510,55.9906795,3.1163381641452400,1.3775,0.029625319820519700,61.7,4.750513223487000,1.017E-07,4.49745396847834E-08,81.25,21.58235094563210,1860.05,195.53798310527700,171.5,8.650011273718720,1.129E-05,3.02258637077492E-06,145.50000000000000,24.250000000000100,https://www.nature.com/articles/s41598-019-39570-y
8,0.0,0.0,10.0,10.0,0.0,45.0,20.0,15.0,0.0,0.0,0.0,0.0,1373,75.0,1173,0.166666666666667,345.0,689.0,52.6,7.925107385398980,-0.21803352421393800,-0.12794245455451500,-0.26684148375217400,0.022830533722945300,4.123955719792060,0.009825834948867710,1.2275000000000000,1.0432020371507400,-0.011858267030436700,-22.75040315201050,0.05402938249206560,0.13222500000000000,8.0,5.36,4.4110000000000000,79.54550000000000,0.2003498732767940,7.254825,-0.019630094081037800,56.014659000000000,3.124781888964410,1.3775,0.0294174202707275,61.4,4.351673578873180,1.005E-07,4.59590879178184E-08,82.15,22.22666136702670,1864.05,190.85141403134100,171.5,8.589308690239500,1.125E-05,2.96518257318292E-06,145.50000000000000,24.250000000000100,https://www.nature.com/articles/s41598-019-39570-y
9,0.0,0.0,10.0,10.0,0.0,45.0,30.0,5.0,0.0,0.0,0.0,0.0,1373,75.0,1173,0.166666666666667,348.0,714.0,62.0,7.919536249293390,-0.171865218347087,-0.08950488506813400,-0.22972223180835000,0.023120686288720800,4.218159913867410,0.009824678672150170,1.1875,1.0432142406961000,-0.01106447021115620,-20.698038087098900,0.05220773985298390,0.12422500000000000,7.9,4.9,4.406000000000000,79.68250000000000,0.19958649022896700,7.172625000000000,-0.01948951720128900,56.0386385,3.222886250707640,1.3775,0.030054694667103800,61.1,4.005470711469250,9.93E-08,4.82028863054401E-08,83.05,23.44266184034110,1868.05,191.41786559794500,171.5,8.775380292048490,1.121E-05,2.99120364904715E-06,145.50000000000000,24.250000000000100,https://www.nature.com/articles/s41598-019-39570-y
